"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","hourly"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot","battery_coms_fail_cntr","level_coms_fail_cntr","flow_coms_fail_cntr","flow_tot_coms_fail_cntr","ModbusInterval"
"TS","RN","volts","cfs","","","","",""
"","","Min","Tot","Smp","Smp","Smp","Smp","Smp"
"2016-10-21 20:00:00",111,12.82,323.1591,1970,1970,1969,1969,1
"2016-10-21 21:00:00",112,12.81,319.6803,1970,1970,1969,1969,1
"2016-10-21 22:00:00",113,12.79,318.1885,1970,1970,1969,1969,1
"2016-10-21 23:00:00",114,12.78,317.1628,1970,1970,1969,1969,1
"2016-10-22 00:00:00",115,12.76,313.0694,1970,1970,1969,1969,1
"2016-10-22 01:00:00",116,12.76,311.9427,1970,1970,1969,1969,1
"2016-10-22 02:00:00",117,12.75,310.6971,1970,1970,1969,1969,1
"2016-10-22 03:00:00",118,12.74,304.7745,1970,1970,1969,1969,1
"2016-10-22 04:00:00",119,12.73,309.809,1970,1970,1969,1969,1
"2016-10-22 05:00:00",120,12.72,301.4202,1970,1970,1969,1969,1
"2016-10-22 06:00:00",121,12.72,303.2019,1970,1970,1969,1969,1
"2016-10-22 07:00:00",122,12.7,297.8657,1970,1970,1969,1969,1
"2016-10-22 08:00:00",123,12.7,297.642,1970,1970,1969,1969,1
"2016-10-22 09:00:00",124,12.78,290.5978,1970,1970,1969,1969,1
"2016-10-22 10:00:00",125,12.8,296.049,1970,1970,1969,1969,1
"2016-10-22 11:00:00",126,13.12,294.398,1970,1970,1969,1969,1
"2016-10-22 12:00:00",127,13.32,289.0783,1970,1970,1969,1969,1
"2016-10-22 13:00:00",128,13.36,288.6639,1970,1970,1969,1969,1
"2016-10-22 14:00:00",129,13.6,287.7518,1970,1970,1969,1969,1
"2016-10-22 15:00:00",130,13.3,282.6631,1970,1970,1969,1969,1
"2016-10-22 16:00:00",131,13.19,282.1092,1970,1970,1969,1969,1
"2016-10-22 17:00:00",132,13.09,281.7971,1970,1970,1969,1969,1
"2016-10-22 18:00:00",133,13.01,277.4736,1970,1970,1969,1969,1
"2016-10-22 19:00:00",134,12.95,279.9839,1970,1970,1969,1969,1
"2016-10-22 20:00:00",135,12.89,274.0934,1970,1970,1969,1969,1
"2016-10-22 21:00:00",136,12.85,274.9706,1970,1970,1969,1969,1
"2016-10-22 22:00:00",137,12.82,271.6433,1970,1970,1969,1969,1
"2016-10-22 23:00:00",138,12.79,271.7646,1970,1970,1969,1969,1
"2016-10-23 00:00:00",139,12.77,270.2121,1970,1970,1969,1969,1
"2016-10-23 01:00:00",140,12.76,270.0744,1970,1970,1969,1969,1
"2016-10-23 02:00:00",141,12.74,266.6701,1970,1970,1969,1969,1
"2016-10-23 03:00:00",142,12.74,262.0435,1970,1970,1969,1969,1
"2016-10-23 04:00:00",143,12.74,257.0189,1970,1970,1969,1969,1
"2016-10-23 05:00:00",144,12.72,260.8213,1970,1970,1969,1969,1
"2016-10-23 06:00:00",145,12.71,257.4263,1970,1970,1969,1969,1
"2016-10-23 07:00:00",146,12.72,251.5868,1970,1970,1969,1969,1
"2016-10-23 08:00:00",147,12.7,255.1177,1970,1970,1969,1969,1
"2016-10-23 09:00:00",148,12.76,251.7226,1970,1970,1969,1969,1
"2016-10-23 10:00:00",149,12.78,246.2906,1970,1970,1969,1969,1
"2016-10-23 11:00:00",150,12.78,248.4634,1970,1970,1969,1969,1
"2016-10-23 12:00:00",151,12.84,243.982,1970,1970,1969,1969,1
"2016-10-23 13:00:00",152,12.96,247.6486,1970,1970,1969,1969,1
"2016-10-23 14:00:00",153,12.95,237.8709,1970,1970,1969,1969,1
"2016-10-23 15:00:00",154,13.05,239.6363,1970,1970,1969,1969,1
"2016-10-23 16:00:00",155,13.03,239.5005,1970,1970,1969,1969,1
"2016-10-23 17:00:00",156,12.95,234.4759,1970,1970,1969,1969,1
"2016-10-23 18:00:00",157,12.82,233.7969,1970,1970,1969,1969,1
"2016-10-23 19:00:00",158,12.78,234.4759,1970,1970,1969,1969,1
"2016-10-23 20:00:00",159,12.76,237.3277,1970,1970,1969,1969,1
"2016-10-23 21:00:00",160,12.75,237.0561,1970,1970,1969,1969,1
"2016-10-23 22:00:00",161,12.74,238.1425,1970,1970,1969,1969,1
"2016-10-23 23:00:00",162,12.74,234.6117,1970,1970,1969,1969,1
"2016-10-24 00:00:00",163,12.73,238.0067,1970,1970,1969,1969,1
"2016-10-24 01:00:00",164,12.73,235.1549,1970,1970,1969,1969,1
"2016-10-24 02:00:00",165,12.73,234.7496,1970,1970,1969,1969,1
"2016-10-24 03:00:00",166,12.73,234.0685,1970,1970,1969,1969,1
"2016-10-24 04:00:00",167,12.72,235.9697,1970,1970,1969,1969,1
"2016-10-24 05:00:00",168,12.72,237.4635,1970,1970,1969,1969,1
"2016-10-24 06:00:00",169,12.71,232.9821,1970,1970,1969,1969,1
"2016-10-24 07:00:00",170,12.71,232.8463,1970,1970,1969,1969,1
"2016-10-24 08:00:00",171,12.71,232.5747,1970,1970,1969,1969,1
"2016-10-24 09:00:00",172,12.73,235.4286,1970,1970,1969,1969,1
"2016-10-24 10:00:00",173,12.76,230.542,1970,1970,1969,1969,1
"2016-10-24 11:00:00",174,12.83,228.6429,1970,1970,1969,1969,1
"2016-10-24 12:00:00",175,12.96,230.1367,1970,1970,1969,1969,1
"2016-10-24 13:00:00",176,13.03,227.0198,1970,1970,1969,1969,1
"2016-10-24 14:00:00",177,12.97,220.7904,1970,1970,1969,1969,1
"2016-10-24 15:00:00",178,12.95,226.8884,1970,1970,1969,1969,1
"2016-10-24 16:00:00",179,12.95,223.778,1970,1970,1969,1969,1
"2016-10-24 17:00:00",180,12.88,227.701,1970,1970,1969,1969,1
"2016-10-24 18:00:00",181,12.8,222.0061,1970,1970,1969,1969,1
"2016-10-24 19:00:00",182,12.77,223.2304,1970,1970,1969,1969,1
"2016-10-24 20:00:00",183,12.75,227.2914,1970,1970,1969,1969,1
"2016-10-24 21:00:00",184,12.73,229.8651,1970,1970,1969,1969,1
"2016-10-24 22:00:00",185,12.73,223.3789,1970,1970,1969,1969,1
"2016-10-24 23:00:00",186,12.73,225.9334,1970,1970,1969,1969,1
"2016-10-25 00:00:00",187,12.71,223.9029,1970,1970,1969,1969,1
"2016-10-25 01:00:00",188,12.71,225.8233,1970,1970,1969,1969,1
"2016-10-25 02:00:00",189,12.71,227.0242,1970,1970,1969,1969,1
"2016-10-25 03:00:00",190,12.7,227.7075,1970,1970,1969,1969,1
"2016-10-25 04:00:00",191,12.7,222.9342,1970,1970,1969,1969,1
"2016-10-25 05:00:00",192,12.7,230.417,1970,1970,1969,1969,1
"2016-10-25 06:00:00",193,12.69,226.619,1970,1970,1969,1969,1
"2016-10-25 07:00:00",194,12.66,227.2958,1970,1970,1969,1969,1
"2016-10-25 08:00:00",195,12.69,225.9613,1970,1970,1969,1969,1
"2016-10-25 09:00:00",196,12.71,222.5706,1970,1970,1969,1969,1
"2016-10-25 10:00:00",197,12.72,221.482,1970,1970,1969,1969,1
"2016-10-25 11:00:00",198,12.84,228.2547,1970,1970,1969,1969,1
"2016-10-25 12:00:00",199,13.09,225.463,1970,1970,1969,1969,1
"2016-10-25 13:00:00",200,13.1,223.15,1970,1970,1969,1969,1
"2016-10-25 14:00:00",201,13.35,220.958,1970,1970,1969,1969,1
"2016-10-25 15:00:00",202,13.11,220.6234,1970,1970,1969,1969,1
"2016-10-25 16:00:00",203,12.99,215.7077,1970,1970,1969,1969,1
"2016-10-25 17:00:00",204,12.9,222.3736,1970,1970,1969,1969,1
"2016-10-25 18:00:00",205,12.83,217.8527,1970,1970,1969,1969,1
"2016-10-25 19:00:00",206,12.78,223.7863,1970,1970,1969,1969,1
"2016-10-25 20:00:00",207,12.74,223.6527,1970,1970,1969,1969,1
"2016-10-25 21:00:00",208,12.72,220.7817,1970,1970,1969,1969,1
"2016-10-25 22:00:00",209,12.71,225.8212,1970,1970,1969,1969,1
"2016-10-25 23:00:00",210,12.69,230.4084,1970,1970,1969,1969,1
"2016-10-26 00:00:00",211,12.69,225.1186,1970,1970,1969,1969,1
"2016-10-26 01:00:00",212,12.68,234.7475,1970,1970,1969,1969,1
"2016-10-26 02:00:00",213,12.68,229.8608,1970,1970,1969,1969,1
"2016-10-26 03:00:00",214,12.67,231.7642,1970,1970,1969,1969,1
"2016-10-26 04:00:00",215,12.66,246.5622,1970,1970,1969,1969,1
"2016-10-26 05:00:00",216,12.66,294.0691,1970,1970,1969,1969,1
"2016-10-26 06:00:00",217,12.66,436.5373,1970,1970,1969,1969,1
"2016-10-26 07:00:00",218,12.65,572.2025,1970,1970,1969,1969,1
"2016-10-26 08:00:00",219,12.65,723.4346,1970,1970,1969,1969,1
"2016-10-26 09:00:00",220,12.69,828.7903,1970,1970,1969,1969,1
"2016-10-26 10:00:00",221,12.71,900.2814,1970,1970,1969,1969,1
"2016-10-26 11:00:00",222,12.82,948.1628,1970,1970,1969,1969,1
"2016-10-26 12:00:00",223,13.06,955.9327,1970,1970,1969,1969,1
"2016-10-26 13:00:00",224,13.06,944.7772,1970,1970,1969,1969,1
"2016-10-26 14:00:00",225,13.29,922.2555,1970,1970,1969,1969,1
"2016-10-26 15:00:00",226,13.14,913.7646,1970,1970,1969,1969,1
"2016-10-26 16:00:00",227,12.99,901.3889,1970,1970,1969,1969,1
"2016-10-26 17:00:00",228,12.89,890.1848,1970,1970,1969,1969,1
"2016-10-26 18:00:00",229,12.82,859.2847,1970,1970,1969,1969,1
"2016-10-26 19:00:00",230,12.77,865.7054,1970,1970,1969,1969,1
"2016-10-26 20:00:00",231,12.73,819.9753,1970,1970,1969,1969,1
"2016-10-26 21:00:00",232,12.71,816.3591,1970,1970,1969,1969,1
